SNOMED;Diagnóstico;
M-91320;Intramuscular haemangioma;
M-93210;Intraosseous odontogenic fibroma;
M-91873;Intraosseous well differentiated osteosarcoma;
M-86431;Intratubular large cell hyalinizing Sertoli cel neoplasia;
M-97123;Intravascular large B-cell lymphoma;
M-97123;Intravascular large B-cell lymphoma;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-88901;Intravenous leiomyomatosis;
M-85073;Invasive micropapillary carcinoma;
M-80530;Inverted squamous papilloma;
M-81210;Inverted urothelial papilloma, benign;
M-81211;Inverted urothelial papilloma, NOS;
M-86903;Jugulotympanic paraganglioma;
M-99463;Juvenile myelomonocytic leukaemia;
M-99463;Juvenile myelomonocytic leukaemia;
M-75662;Juvenile polyp;
M-86221;Juvenile type granulosa cell tumour;
M-91933;Juxtacortical chondroblastic osteosarcoma;
M-92210;Juxtacortical chondroma;
M-92213;Juxtacortical chondrosarcoma;
M-91923;Juxtacortical osteosarcoma;
M-83610;Juxtaglomerular cell tumour;
M-97323;Kahler’s disease;
M-91403;Kaposi sarcoma;
M-91403;Kaposi sarcoma;
M-80713;Keratinizing squamous cell carcinoma;
M-80713;Keratinizing squamous cell carcinoma;
M-80713;Keratinizing squamous cell carcinoma;
M-80713;Keratinizing squamous cell carcinoma;
M-80713;Keratinizing squamous cell carcinoma;
M-80713;Keratinizing squamous cell carcinoma;
M-80713;Keratinizing squamous cell carcinoma;
M-80713;Keratinizing squamous cell carcinoma;
M-72860;Keratoacanthoma;
M-92700;Keratocystic odontogenic tumour;
M-72850;Keratosis, actinic;
M-72720;Keratosis, lichen planus-like;
M-72720;Keratosis, lichenoid;
M-72750;Keratosis, seborrhoeic;
M-72850;Keratosis, solar;
M-81623;Klatskin tumour;
M-81623;Klatskin tumour;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-81523;L cell, Glucagon-like peptide-producing and PP/PYY-producing NETs;
M-82040;Lactating adenoma;
M-97513;Langerhans cell histiocytosis;
M-97563;Langerhans cell sarcoma;
M-97383;Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease;
M-80133;Large cell (neuro)endocrine carcinoma (large cell NEC);
M-72160;Large cell acanthoma;
M-86421;Large cell calcifying Sertoli cell tumour;
M-80123;Large cell carcinoma;
M-80143;Large cell carcinoma with rhabdoid phenotype;
M-94743;Large cell medulloblastoma;
M-80133;Large cell NET/NEC;
M-86933;Laryngeal paraganglioma;
M-88930;Leiomyoma with bizarre nuclei;
M-88900;Leiomyoma, apoplectic;
M-88920;Leiomyoma, cellular;
M-88900;Leiomyoma, dissecting (cotyledonoid);
M-88910;Leiomyoma, epithelioid;
M-88900;Leiomyoma, hydropic;
M-88900;Leiomyoma, lipomatous (lipoleiomyoma);
M-88981;Leiomyoma, metastasising;
M-88900;Leiomyoma, mitotically active;
M-88960;Leiomyoma, myxoid;
M-88900;Leiomyoma, NOS;
M-88900;Leiomyoma, pilar;
M-88901;Leiomyomatosis peritonealis disseminata;
M-88901;Leiomyomatosis, diffuse;
M-88901;Leiomyomatosis, intravenous;
M-88903;Leiomyosarcoma, cutaneous;
M-88913;Leiomyosarcoma, epithelioid;
M-88963;Leiomyosarcoma, myxoid;
M-88903;Leiomyosarcoma, NOS;
M-72160;Lentigo actinic (solar);
M-87422;Lentigo maligna;
M-87423;Lentigo maligna melanoma;
M-82503;Lepidic (predominant) adenocarcinoma (formerly Bronchioloalveolar carcinoma (BAC));
M-82533;(Lepidic) Invasive mucinous adenocarcinoma (formerly mucinous BAC);
M-82523;(Lepidic) non-mucinous adenocarcinoma (formerly non-mucinous BAC);
M-97513;Letterer Siwe;
M-98053;Leukaemia, acute ambiguous lineage;
M-98703;Leukaemia, acute basophilic;
M-98403;Leukaemia, acute erythroid;
M-99103;Leukaemia, acute megakaryoblastic;
M-99103;Leukaemia, acute megakaryoblastic;
M-98053;Leukaemia, acute mixed lineage;
M-98053;Leukaemia, acute mixed lineage;
M-98063;"Leukaemia, acute mixed phenotype with t(9;22)(q34;q11.2); BCR-ABL1";
M-98063;"Leukaemia, acute mixed phenotype with t(9;22)(q34;q11.2); BCR-ABL1";
M-98073;"Leukaemia, acute mixed phenotype with t(v;11q23); MLL rearranged";
M-98073;"Leukaemia, acute mixed phenotype with t(v;11q23); MLL rearranged";
M-98073;"Leukaemia, acute mixed phenotype with t(v;11q23); MLL rearranged";
M-98083;Leukaemia, acute mixed phenotype, B/myeloid, NOS;
M-98093;Leukaemia, acute mixed phenotype, T/myeloid, NOS;
M-98093;Leukaemia, acute mixed phenotype, T/myeloid, NOS;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-98913;Leukaemia, acute monoblastic and monocytic;
M-99113;"Leukaemia, acute myeloid (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1";
M-98673;Leukaemia, acute myeloid M4;
M-98913;Leukaemia, acute myeloid M5A;
M-98913;Leukaemia, acute myeloid M5B;
M-98913;Leukaemia, acute myeloid M5B;
M-98403;Leukaemia, acute myeloid M6;
M-98403;Leukaemia, acute myeloid M6;
M-98613;Leukaemia, acute myeloid NOS;
M-98713;Leukaemia, acute myeloid with abnormal (marrow) eosinophils;
M-98713;Leukaemia, acute myeloid with abnormal (marrow) eosinophils;
M-98713;"Leukaemia, acute myeloid with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11";
M-98693;"Leukaemia, acute myeloid with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1";
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98743;Leukaemia, acute myeloid with maturation;
M-98723;Leukaemia, acute myeloid with minimal differentiation;
M-98613;Leukaemia, acute myeloid with mutated CEBPA;
M-98613;Leukaemia, acute myeloid with mutated NPM1;
M-98613;Leukaemia, acute myeloid with mutated NPM1;
M-98953;Leukaemia, acute myeloid with myelodysplasia-related changes (multilineage dysplasia);
M-98953;Leukaemia, acute myeloid with myelodysplasia-related changes (multilineage dysplasia);
M-98953;Leukaemia, acute myeloid with myelodysplasia-related changes (multilineage dysplasia);
M-98953;Leukaemia, acute myeloid with myelodysplasia-related changes (multilineage dysplasia);
M-98953;Leukaemia, acute myeloid with myelodysplasia-related changes (multilineage dysplasia);
M-98953;Leukaemia, acute myeloid with myelodysplasia-related changes (multilineage dysplasia);
M-98653;"Leukaemia, acute myeloid with t(6;9)(p23;q34); DEK-NUP214";
M-98653;"Leukaemia, acute myeloid with t(6;9)(p23;q34); DEK-NUP214";
M-98963;"Leukaemia, acute myeloid with t(8;21)(q22;q22) RUNX1-RUNX1T1";
M-98973;"Leukaemia, acute myeloid with t(9;11)(p22;q23); MLLT3-MLL";
M-98733;Leukaemia, acute myeloid without maturation;
M-98733;Leukaemia, acute myeloid without maturation;
M-98673;Leukaemia, acute myelomonocytic;
M-98013;Leukaemia, acute NOS;
M-98013;Leukaemia, acute NOS;
M-98663;"Leukaemia, acute promyelocytic with t(15;17)(q22;q12); PML-RARA";
M-98013;Leukaemia, acute undifferentiated;
M-99483;Leukaemia, aggressive NK cell;
M-98053;Leukaemia, ambiguous lineage, acute;
M-98703;Leukaemia, basophilic, acute;
M-98333;Leukaemia, B-cell prolymphocytic;
M-98263;Leukaemia, Burkitt;
M-99643;Leukaemia, chronic eosinophilic, NOS;
M-98233;Leukaemia, chronic lymphocytic (CLL);
M-98233;Leukaemia, chronic lymphocytic (CLL);
M-98233;Leukaemia, chronic lymphocytic (CLL);
M-98233;Leukaemia, chronic lymphocytic (CLL);
M-98233;Leukaemia, chronic lymphocytic (CLL);
M-98233;Leukaemia, chronic lymphocytic (CLL);
M-98233;Leukaemia, chronic lymphocytic (CLL);
M-98753;Leukaemia, chronic myelogenous (CML), BCR-ABL1 positive;
M-98753;Leukaemia, chronic myelogenous (CML), Philadelphia positive (Ph1+);
M-98753;Leukaemia, chronic myelogenous (CML), Philadelphia positive (Ph1+);
M-98753;Leukaemia, chronic myelogenous (CML), Philadelphia positive (Ph1+);
M-98753;Leukaemia, chronic myelogenous (CML), Philadelphia positive (Ph1+);
M-98753;Leukaemia, chronic myelogenous (CML), Philadelphia positive (Ph1+);
M-98753;Leukaemia, chronic myelogenous (CML), Philadelphia positive (Ph1+);
M-98763;Leukaemia, chronic myeloid, atypical, BCR-ABL1 negative;
M-98633;Leukaemia, chronic myeloid, NOS;
M-99453;Leukaemia, chronic myelomonocytic (CMMOL);
M-99453;Leukaemia, chronic myelomonocytic (CMMOL);
M-99633;Leukaemia, chronic neutrophilic;
M-99643;Leukaemia, eosinophilic chronic, NOS;
M-99643;Leukaemia, eosinophilic chronic, NOS;
M-98403;Leukaemia, erythroid, acute;
M-99403;Leukaemia, hairy cell;
M-95913;Leukaemia, hairy cell Variant (HCLv);
M-99463;Leukaemia, Juvenile myelomonocytic (JMML);
M-98233;Leukaemia, lymphocytic chronic (CLL);
M-98233;Leukaemia, lymphocytic chronic (CLL);
M-98313;Leukaemia, lymphocytic T-cell large granular;
M-98313;Leukaemia, lymphocytic T-cell large granular;
M-98313;Leukaemia, lymphocytic T-cell large granular;
M-98313;Leukaemia, lymphocytic T-cell large granular;
M-98203;Leukaemia, lymphoid, NOS;
M-97423;Leukaemia, mast cell;
M-99103;Leukaemia, megakaryoblastic, acute;
M-99103;Leukaemia, megakaryoblastic, acute;
M-98053;Leukaemia, mixed lineage, acute;
M-98063;"Leukaemia, mixed phenotype with t(9;22)(q34;q11.2); BCR-ABL1, acute";
M-98073;"Leukaemia, mixed phenotype with t(v;11q23); MLL rearranged, acute";
M-98083;Leukaemia, mixed phenotype, B/myeloid, NOS, acute;
M-98093;Leukaemia, mixed phenotype, T/myeloid, NOS, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98913;Leukaemia, monoblastic and monocytic, acute;
M-98753;Leukaemia, myelogenous chronic (CML), BCR-ABL1 positive;
M-98753;Leukaemia, myelogenous chronic (CML), BCR-ABL1 positive;
M-98753;Leukaemia, myelogenous chronic (CML), Philadelphia positive (Ph1+);
M-98753;Leukaemia, myelogenous chronic (CML), Philadelphia positive (Ph1+);
M-99113;"Leukaemia, myeloid (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1, acute";
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;Leukaemia, myeloid acute with abnormal (marrow) eosinophils;
M-98713;"Leukaemia, myeloid acute with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11";
M-98713;"Leukaemia, myeloid acute with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11";
M-98693;"Leukaemia, myeloid acute with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1";
M-98743;Leukaemia, myeloid acute with maturation;
M-98743;Leukaemia, myeloid acute with maturation;
M-98723;Leukaemia, myeloid acute with minimal differentiation;
M-98613;Leukaemia, myeloid acute with mutated CEBPA;
M-98613;Leukaemia, myeloid acute with mutated CEBPA;
M-98613;Leukaemia, myeloid acute with mutated NPM1;
M-98953;Leukaemia, myeloid acute with myelodysplasia-related changes (multilineage dysplasia);
M-98653;"Leukaemia, myeloid acute with t(6;9)(p23;q34); DEK-NUP214";
M-98963;"Leukaemia, myeloid acute with t(8;21)(q22;q22) RUNX1-RUNX1T1";
M-98973;"Leukaemia, myeloid acute with t(9;11)(p22;q23); MLLT3-MLL";
M-98733;Leukaemia, myeloid acute without maturation;
M-98733;Leukaemia, myeloid acute without maturation;
M-98673;Leukaemia, myeloid acute, M4;
M-98913;Leukaemia, myeloid acute, M5A;
M-98913;Leukaemia, myeloid acute, M5B;
M-98913;Leukaemia, myeloid acute, M5B;
M-98913;Leukaemia, myeloid acute, M5B;
M-98913;Leukaemia, myeloid acute, M5B;
M-98913;Leukaemia, myeloid acute, M5B;
M-98403;Leukaemia, myeloid acute, M6;
M-98613;Leukaemia, myeloid acute, NOS;
M-98613;Leukaemia, myeloid acute, NOS;
M-98613;Leukaemia, myeloid acute, NOS;
M-98613;Leukaemia, myeloid acute, NOS;
M-98613;Leukaemia, myeloid acute, NOS;
M-98613;Leukaemia, myeloid acute, NOS;
M-98613;Leukaemia, myeloid acute, NOS;
M-98613;Leukaemia, myeloid acute, NOS;
M-98763;Leukaemia, myeloid chronic, atypical, BCR-ABL1 negative;
M-98633;Leukaemia, myeloid chronic, NOS;
M-98983;Leukaemia, myeloid with Down syndrome;
M-98983;Leukaemia, myeloid with Down syndrome;
M-98603;Leukaemia, myeloid, NOS;
M-98673;Leukaemia, myelomonocytic acute;
M-99453;Leukaemia, myelomonocytic chronic (CMMOL);
M-99633;Leukaemia, neutrophilic chronic;
M-98003;Leukaemia, NOS;
M-97333;Leukaemia, plasma cell;
M-98333;Leukaemia, prolymphocytic B-cell;
M-98343;Leukaemia, prolymphocytic T-cell;
M-98343;Leukaemia, prolymphocytic T-cell;
M-98323;Leukaemia, prolymphocytic, NOS;
M-98663;"Leukaemia, promyelocytic acute with t(15;17)(q22;q12); PML-RARA";
M-98663;"Leukaemia, promyelocytic acute with t(15;17)(q22;q12); PML-RARA";
M-98313;Leukaemia, T-cell large granular lymphocytic;
M-98313;Leukaemia, T-cell large granular lymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98343;Leukaemia, T-cell prolymphocytic;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98353;Leukaemia/lymphoma, acute lymphoblastic NOS;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98273;Leukaemia/lymphoma, adult T-cell;
M-98153;Leukaemia/lymphoma, B lymphoblastic with hyperdiploidy;
M-98153;Leukaemia/lymphoma, B lymphoblastic with hyperdiploidy;
M-98163;Leukaemia/lymphoma, B lymphoblastic with hypodiploidy (hypodiploid ALL);
M-98163;Leukaemia/lymphoma, B lymphoblastic with hypodiploidy (hypodiploid ALL);
M-98163;Leukaemia/lymphoma, B lymphoblastic with hypodiploidy (hypodiploid ALL);
M-98183;"Leukaemia/lymphoma, B lymphoblastic with t(1;19) (q23;p13.3); E2A-PBX1 (TCF3-PBX1)";
M-98143;"Leukaemia/lymphoma, B lymphoblastic with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)";
M-98143;"Leukaemia/lymphoma, B lymphoblastic with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)";
M-98143;"Leukaemia/lymphoma, B lymphoblastic with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)";
M-98143;"Leukaemia/lymphoma, B lymphoblastic with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)";
M-98143;"Leukaemia/lymphoma, B lymphoblastic with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)";
